rank,score,year,tags,query,title,venue,doi,url,type,abstract
404,4,2024,,contact-rich manipulation,A Contact Model based on Denoising Diffusion to Learn Variable Impedance Control for Contact-rich Manipulation,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros58592.2024.10801976,https://doi.org/10.1109/iros58592.2024.10801976,proceedings-article,
405,4,2024,,contact-rich manipulation,A Realistic Surgical Simulator for Non-Rigid and Contact-Rich Manipulation in Surgeries with the da Vinci Research Kit,2024 21st International Conference on Ubiquitous Robots (UR),10.1109/ur61395.2024.10597513,https://doi.org/10.1109/ur61395.2024.10597513,proceedings-article,
406,4,2024,,sim-to-real robotics,A Survey on Sim-to-Real Transfer Methods for Robotic Manipulation,2024 IEEE 22nd Jubilee International Symposium on Intelligent Systems and Informatics (SISY),10.1109/sisy62279.2024.10737545,https://doi.org/10.1109/sisy62279.2024.10737545,proceedings-article,
407,4,2024,,embodied intelligence scaling,A Variable Stiffness Anthropomorphic Finger Through Embodied Intelligence Design,IEEE Robotics and Automation Letters,10.1109/lra.2023.3347139,https://doi.org/10.1109/lra.2023.3347139,journal-article,
408,4,2024,,robot world model,An In-Memory Physics Environment as a World Model for Robot Motion Planning,,10.36227/techrxiv.12893876.v2,https://doi.org/10.36227/techrxiv.12893876.v2,posted-content,"<jats:p>
                  Publication reference:
                  <jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""https://doi.org/10.1007/978-981-16-1740-9_46"">https://doi.org/10.1007/978-981-16-1740-9_46</jats:ext-link>
                </jats:p>
                <jats:p>This paper investigates the utilization of a physics simulation
environment as the imagination of a robot, where it creates a replica of
the detected terrain in a physics simulation environment in its memo"
409,4,2024,,embodiment generalization robotics,"Artificial Intelligence, Robotics, and Animal Slaughter: The Embodiment of Necropolitical Dystopia",Journal of Animal Ethics,10.5406/21601267.14.2.06,https://doi.org/10.5406/21601267.14.2.06,journal-article,"<jats:title>Abstract</jats:title>
               <jats:p>Artificial intelligence and robotics have revolutionized slaughterhouse operations, allowing collaborative robots to reduce the physical and moral stress on butchers. However, animals remain an “absent referent” in the process, and the development of artificial intelligence in this field continues the trend of moral distancing present in killing. This dystopian scenario, in which machines endlessly breed and kill animals, and in which the "
410,4,2024,,robot reinforcement learning,Automated Facade Cleaning Robot using Reinforcement Learning model,2024 International Conference on Smart Systems for applications in Electrical Sciences (ICSSES),10.1109/icsses62373.2024.10561351,https://doi.org/10.1109/icsses62373.2024.10561351,proceedings-article,
411,4,2024,,sim-to-real robotics,Benchmarking the Sim-to-Real Gap in Cloth Manipulation,IEEE Robotics and Automation Letters,10.1109/lra.2024.3360814,https://doi.org/10.1109/lra.2024.3360814,journal-article,
412,4,2024,,vision language action robotics,"Benchmarking Vision, Language, &amp; Action Models on Robotic Learning Tasks",,10.20944/preprints202411.0494.v1,https://doi.org/10.20944/preprints202411.0494.v1,posted-content,"<jats:p>Vision-language-action (VLA) models represent a promising direction for developing general-purpose robotic systems, demonstrating the ability to combine visual understanding, language comprehension, and action generation. However, systematic evaluation of these models across diverse robotic tasks remains limited. In this work, we present a comprehensive evaluation framework and benchmark suite for assessing VLA models. We profile three state-of-the-art VLM and VLAs &amp;mdash;GPT-4o, Ope"
413,4,2024,,embodied intelligence scaling,Bio-Inspired Neural Network Architecture of Embodied Intelligence,Lobachevskii Journal of Mathematics,10.1134/s1995080224606027,https://doi.org/10.1134/s1995080224606027,journal-article,
414,4,2024,,sim-to-real robotics,Bridging the Sim-to-Real Gap with Bayesian Inference,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros58592.2024.10801505,https://doi.org/10.1109/iros58592.2024.10801505,proceedings-article,
415,4,2024,,robot planning learning,Causal deconfounding deep reinforcement learning for mobile robot motion planning,Knowledge-Based Systems,10.1016/j.knosys.2024.112406,https://doi.org/10.1016/j.knosys.2024.112406,journal-article,
416,4,2024,,sim-to-real robotics,Closing the Visual Sim-to-Real Gap with Object-Composable NeRFs,2024 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra57147.2024.10611427,https://doi.org/10.1109/icra57147.2024.10611427,proceedings-article,
417,4,2024,,contact-rich manipulation,Combining Sampling- and Gradient-based Planning for Contact-rich Manipulation,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros58592.2024.10802369,https://doi.org/10.1109/iros58592.2024.10802369,proceedings-article,
418,4,2024,,embodied intelligence scaling,Concentrating Intelligence: Scaling and Market Structure in Artificial Intelligence,,10.36687/inetwp228,https://doi.org/10.36687/inetwp228,report,"<jats:p>This paper examines the evolving structure and competition dynamics of the rapidly growing market for foundation models, focusing on large language models (LLMs). We describe the technological characteristics that shape the industry and have given rise to fierce competition among the leading players. The paper analyzes the cost structure of foundation models, emphasizing the importance of key inputs such as computational resources, data, and talent, and identifies significant economies o"
419,4,2024,,contact-rich manipulation,Contact-Rich <i>SE(3)</i>-Equivariant Robot Manipulation Task Learning via Geometric Impedance Control,IEEE Robotics and Automation Letters,10.1109/lra.2023.3346748,https://doi.org/10.1109/lra.2023.3346748,journal-article,
420,4,2024,,robot locomotion scaling,Continual Reinforcement Learning for Quadruped Robot Locomotion,Entropy,10.3390/e26010093,https://doi.org/10.3390/e26010093,journal-article,"<jats:p>The ability to learn continuously is crucial for a robot to achieve a high level of intelligence and autonomy. In this paper, we consider continual reinforcement learning (RL) for quadruped robots, which includes the ability to continuously learn sub-sequential tasks (plasticity) and maintain performance on previous tasks (stability). The policy obtained by the proposed method enables robots to learn multiple tasks sequentially, while overcoming both catastrophic forgetting and loss of p"
421,4,2024,,sim-to-real robotics,CTS: Sim-to-Real Unsupervised Domain Adaptation on 3D Detection,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros58592.2024.10801462,https://doi.org/10.1109/iros58592.2024.10801462,proceedings-article,
422,4,2024,,robot planning learning,Deep Reinforcement Learning for Mobile Robot Path Planning,Journal of Theory and Practice of Engineering Science,10.53469/jtpes.2024.04(04).07,https://doi.org/10.53469/jtpes.2024.04(04).07,journal-article,"<jats:p>Path planning is an important problem with the the applications in many aspects, such as video games, robotics etc. This paper proposes a novel method to address the problem of Deep Reinforcement Learning (DRL) based path planning for a mobile robot. We design DRL-based algorithms, including reward functions, and parameter optimization, to avoid time-consuming work in a 2D environment. We also designed an Two-way search hybrid A* algorithm to improve the quality of local path planning. W"
423,4,2024,,robot tactile perception,Design and Robot Autonomous Wearing of Tactile Perception Nose Clip for Human Respiration Rate Detection,2024 IEEE 25th China Conference on System Simulation Technology and its Application (CCSSTA),10.1109/ccssta62096.2024.10691787,https://doi.org/10.1109/ccssta62096.2024.10691787,proceedings-article,
424,4,2024,,robot foundation model,Development of an Underwater Detection Robot for the Structures with Pile Foundation,Journal of Marine Science and Engineering,10.3390/jmse12071051,https://doi.org/10.3390/jmse12071051,journal-article,"<jats:p>Addressing the challenges for detecting underwater damage to the structures with pile foundation, this study presents the design of an adsorption-operated robotic system. Initially, a prototype is proposed for an adsorption-operated robot that is equipped with an automatic movement mechanism. To account for the disturbance of the drag force in the control system, a hydrodynamic numerical model for the detection robot is established. The numerical results of the drag force are then integr"
425,4,2024,,embodied intelligence scaling,Development of Mobile Manipulator Robot System with Embodied Intelligence,Strategic Study of CAE,10.15302/j-sscae-2024.01.010,https://doi.org/10.15302/j-sscae-2024.01.010,journal-article,
426,4,2024,,imitation learning robotics,DiffAIL: Diffusion Adversarial Imitation Learning,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v38i14.29470,https://doi.org/10.1609/aaai.v38i14.29470,journal-article,"<jats:p>Imitation learning aims to solve the problem of defining reward functions in real-world decision-making tasks. The current popular approach is the Adversarial Imitation Learning (AIL) framework, which matches expert state-action occupancy measures to obtain a surrogate reward for forward reinforcement learning. However, the traditional discriminator is a simple binary classifier and doesn't learn an accurate distribution, which may result in failing to identify expert-level state-action "
427,4,2024,,robot foundation model,DINOBot: Robot Manipulation via Retrieval and Alignment with Vision Foundation Models,2024 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra57147.2024.10610923,https://doi.org/10.1109/icra57147.2024.10610923,proceedings-article,
428,4,2024,,sim-to-real robotics,DrEureka: Language Model Guided Sim-To-Real Transfer,Robotics: Science and Systems XX,10.15607/rss.2024.xx.094,https://doi.org/10.15607/rss.2024.xx.094,proceedings-article,
429,4,2024,,robot tactile perception,Dual-modal Tactile E-skin: Enabling Bidirectional Human-Robot Interaction via Integrated Tactile Perception and Feedback,2024 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra57147.2024.10610074,https://doi.org/10.1109/icra57147.2024.10610074,proceedings-article,
430,4,2024,,embodied intelligence scaling,Embodied Intelligence Applications in Assistive Technologies for the Visually Impaired,"2024 6th International Conference on Robotics, Intelligent Control and Artificial Intelligence (RICAI)",10.1109/ricai64321.2024.10911190,https://doi.org/10.1109/ricai64321.2024.10911190,proceedings-article,
431,4,2024,,embodied intelligence scaling,Embodied Intelligence in Additive Manufacturing,IOP Conference Series: Materials Science and Engineering,10.1088/1757-899x/1321/1/012005,https://doi.org/10.1088/1757-899x/1321/1/012005,journal-article,"<jats:title>Abstract</jats:title>
               <jats:p>Embodied intelligence reflects the ability of an agent to interact with its environment through its body to gain intelligence and autonomy. Such a concept has become popular in recent years for the design of robotic systems. This paper generalises the embodied intelligence concept to Additive Manufacturing (AM) to provide a new understanding of the technology with inspirations from biological production processes including organism growth "
